RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
916.0,90,4.25,12.549019607843137,27,21.5,19.215686274509803,13.7,26.0,-0.01953125,-0.01953125,0.445,-0.78125,-0.78125
919.75,90,4.0,12.549019607843137,27,21.5,19.215686274509803,13.7,25.0,-0.1171875,-0.171875,0.445,-3.125,-4.6875
917.25,90,4.0,12.156862745098039,27,21.5,19.215686274509803,13.6,25.0,-0.25,-0.2578125,0.445,-7.8125,-8.59375
916.0,90,4.0,12.549019607843137,27,23.0,19.215686274509803,13.7,25.0,-0.28125,-0.26171875,0.445,-11.71875,-12.5
881.75,90,3.75,12.156862745098039,27,22.5,19.607843137254903,13.7,25.0,-0.19921875,-0.16796875,0.44,-13.28125,-14.0625
909.25,90,5.0,12.941176470588236,27,33.0,21.568627450980394,13.7,25.0,-0.0859375,-0.02734375,0.445,-14.0625,-12.5
1007.5,90,6.25,13.333333333333334,27,33.5,24.313725490196077,13.7,25.0,0.12890625,0.18359375,0.445,-8.59375,-7.03125
1058.25,90,8.5,14.509803921568627,27,23.0,29.019607843137255,13.7,25.0,0.1796875,0.203125,0.445,-3.125,-0.78125
1147.25,90,10.75,15.686274509803921,27,18.0,38.03921568627451,13.7,25.0,0.16796875,0.1171875,0.445,1.5625,2.34375
1368.25,90,16.0,17.647058823529413,27,24.0,41.1764705882353,13.7,26.0,0.10546875,0.078125,0.445,3.90625,5.46875
1484.75,90,16.5,17.647058823529413,27,24.5,40.78431372549019,13.7,26.0,-0.10546875,-0.05078125,0.445,1.5625,3.125
1519.0,90,17.75,18.03921568627451,26,24.5,41.568627450980394,13.7,27.0,-0.07421875,-0.05078125,0.445,-0.78125,0.78125
1543.5,90,18.25,18.03921568627451,26,24.5,41.96078431372549,13.7,28.0,-0.06640625,-0.0859375,0.445,-3.125,-1.5625
1557.0,90,18.0,18.03921568627451,26,29.0,41.96078431372549,13.6,28.0,-0.10546875,-0.140625,0.445,-6.25,-6.25
1563.0,90,18.75,18.431372549019606,26,31.5,42.35294117647059,13.7,30.0,0.078125,0.05078125,0.445,-3.125,-3.90625
1580.75,90,18.75,18.823529411764707,26,32.0,43.92156862745098,13.7,31.0,0.0703125,0.03125,0.445,0.0,-1.5625
1638.75,90,21.25,19.607843137254903,26,29.0,45.88235294117647,13.6,31.0,0.03125,0.05859375,0.445,1.5625,0.78125
1726.0,90,22.25,20.0,26,30.5,45.09803921568628,13.7,32.0,0.0703125,0.0234375,0.44,4.6875,2.34375
1762.0,90,24.25,20.784313725490197,25,30.5,46.666666666666664,13.7,33.0,0.0546875,0.05078125,0.445,6.25,4.6875
1851.0,90,28.5,22.352941176470587,25,30.0,50.588235294117645,13.7,36.0,-0.05859375,-0.07421875,0.445,4.6875,1.5625
1956.0,90,31.75,23.529411764705884,25,29.0,52.15686274509804,13.7,37.0,-0.03125,-0.02734375,0.445,3.125,0.0
1994.5,90,33.75,23.92156862745098,25,28.5,53.72549019607843,13.7,38.0,0.0078125,-0.00390625,0.445,2.34375,0.78125
2076.25,90,40.5,25.88235294117647,25,27.0,60.3921568627451,13.7,40.0,-0.02734375,0.046875,0.44,0.78125,2.34375
2196.5,90,42.25,26.274509803921568,25,26.0,62.35294117647059,13.7,42.0,-0.0546875,-0.05078125,0.445,-1.5625,0.78125
2235.0,89,44.0,26.666666666666668,24,26.0,63.529411764705884,13.7,45.0,-0.0390625,-0.03515625,0.44,-3.125,-0.78125
2274.0,89,43.25,26.666666666666668,24,15.5,62.35294117647059,13.6,46.0,0.03515625,-0.05078125,0.445,-2.34375,-1.5625
2013.5,89,40.25,26.666666666666668,24,25.5,63.92156862745098,13.7,47.0,0.03125,0.0390625,0.445,-0.78125,-0.78125
2019.5,89,39.75,26.666666666666668,24,25.5,64.70588235294117,13.7,48.0,0.01171875,0.03515625,0.44,-1.5625,1.5625
2045.25,89,41.0,26.666666666666668,24,25.5,63.92156862745098,13.7,51.0,-0.0078125,0.01171875,0.445,0.0,1.5625
2072.75,89,41.5,27.058823529411764,24,25.5,63.92156862745098,13.7,52.0,-0.03125,-0.07421875,0.445,-1.5625,-0.78125
2094.0,89,40.75,26.666666666666668,24,26.0,63.13725490196079,13.7,55.0,-0.01953125,0.00390625,0.445,-1.5625,-0.78125
2095.75,89,41.75,26.666666666666668,24,26.0,62.745098039215684,13.7,56.0,-0.01171875,-0.01171875,0.445,-2.34375,0.0
2119.0,89,40.0,26.274509803921568,24,27.0,61.1764705882353,13.7,57.0,-0.04296875,-0.046875,0.445,-3.125,-2.34375
2104.25,89,39.75,25.88235294117647,24,27.0,60.78431372549019,13.7,58.0,0.0,0.02734375,0.445,-0.78125,-2.34375
2121.5,89,40.25,25.88235294117647,24,27.0,60.78431372549019,13.7,60.0,-0.03515625,0.0,0.445,-0.78125,-1.5625
2142.25,89,40.75,25.88235294117647,24,27.0,60.78431372549019,13.7,61.0,-0.03515625,0.0078125,0.445,-3.125,0.0
2142.25,89,38.25,25.49019607843137,24,24.5,58.8235294117647,13.7,63.0,0.02734375,0.01953125,0.445,-0.78125,0.0
2151.25,89,39.5,25.88235294117647,24,24.5,59.6078431372549,13.7,65.0,0.03125,-0.0078125,0.445,0.0,-0.78125
2156.75,89,38.5,25.49019607843137,24,24.5,58.8235294117647,13.7,66.0,0.03125,-0.03125,0.445,0.0,-0.78125
2172.75,89,38.75,25.49019607843137,24,24.5,58.431372549019606,13.7,67.0,0.01953125,0.015625,0.445,0.0,1.5625
2183.0,89,39.25,25.88235294117647,23,24.5,58.8235294117647,13.6,67.0,0.00390625,-0.015625,0.445,0.0,1.5625
2047.0,89,36.75,25.098039215686274,23,24.0,58.03921568627451,13.7,70.0,-0.06640625,-0.09765625,0.445,-0.78125,-1.5625
1986.0,89,35.0,24.705882352941178,23,24.0,57.64705882352941,13.7,71.0,0.03125,0.0234375,0.445,1.5625,0.0
1996.25,89,35.5,24.705882352941178,23,24.0,58.431372549019606,13.7,71.0,-0.01953125,0.00390625,0.445,0.78125,1.5625
1997.5,89,36.5,24.705882352941178,23,24.5,58.03921568627451,13.7,72.0,-0.0390625,-0.01171875,0.445,0.0,0.78125
