RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2
595.0,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.0078125,-0.0078125,0.445,0.44,0.0,1.5625,-0.78125,-2.34375
598.0,87,3.75,12.549019607843137,33,4.5,27.84313725490196,13.6,0.0,-0.01953125,-0.0078125,0.445,0.44,-0.78125,1.5625,-0.78125,-2.34375
604.75,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.01953125,-0.0078125,0.445,0.44,-0.78125,1.5625,-0.78125,-2.34375
593.25,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.7,0.0,-0.00390625,-0.01171875,0.445,0.445,-0.78125,1.5625,-0.78125,-2.34375
588.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.00390625,-0.0078125,0.44,0.445,0.0,1.5625,-0.78125,-2.34375
601.75,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,0.0,-0.00390625,0.44,0.445,0.0,1.5625,0.0,-2.34375
594.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,-0.00390625,0.44,0.445,0.0,1.5625,0.0,-2.34375
603.0,87,3.75,12.549019607843137,33,4.5,27.84313725490196,13.6,0.0,-0.00390625,-0.01171875,0.445,0.445,0.0,1.5625,0.0,-2.34375
591.25,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.00390625,0.0,0.445,0.445,0.0,1.5625,0.0,-2.34375
604.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.0078125,0.0,0.445,0.44,0.0,1.5625,0.0,-2.34375
601.0,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,-0.015625,0.44,0.445,0.0,1.5625,0.0,-2.34375
602.25,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.0078125,-0.02734375,0.44,0.44,0.0,1.5625,0.0,-2.34375
590.0,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.6,0.0,-0.01171875,-0.0078125,0.44,0.445,0.0,1.5625,0.0,-2.34375
595.5,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,-0.0078125,-0.00390625,0.44,0.445,0.0,1.5625,0.0,-2.34375
598.0,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01953125,-0.015625,0.44,0.445,0.0,1.5625,-0.78125,-2.34375
602.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.015625,-0.015625,0.445,0.445,-0.78125,1.5625,-0.78125,-2.34375
603.0,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.7,0.0,-0.0078125,-0.015625,0.44,0.445,-0.78125,1.5625,-0.78125,-2.34375
596.75,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.5,0.0,-0.00390625,-0.00390625,0.445,0.44,0.0,1.5625,-0.78125,-2.34375
591.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.00390625,0.0,0.445,0.44,0.0,1.5625,0.0,-2.34375
602.25,87,3.75,12.156862745098039,33,3.5,27.84313725490196,13.7,0.0,-0.00390625,-0.00390625,0.445,0.445,0.0,1.5625,0.0,-2.34375
591.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.0078125,0.00390625,0.445,0.44,0.0,1.5625,0.0,-2.34375
594.25,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,0.0078125,0.0,0.445,0.445,0.0,1.5625,0.0,-2.34375
596.25,87,3.5,12.156862745098039,33,4.5,27.84313725490196,13.7,0.0,0.00390625,-0.00390625,0.44,0.445,0.0,1.5625,0.0,-2.34375
603.0,87,3.75,12.156862745098039,33,4.5,27.45098039215686,13.6,0.0,-0.00390625,-0.01171875,0.445,0.44,0.0,1.5625,0.0,-2.34375
596.75,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.00390625,-0.00390625,0.445,0.44,0.0,1.5625,0.0,-2.34375
592.5,87,3.75,12.156862745098039,33,5.0,27.84313725490196,13.7,0.0,0.0,0.00390625,0.445,0.445,0.78125,1.5625,0.78125,-2.34375
597.5,87,3.75,12.156862745098039,33,4.5,27.84313725490196,13.6,0.0,-0.01171875,-0.00390625,0.445,0.445,0.0,1.5625,0.78125,-2.34375
