RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
1705.25,100,23.0,20.784313725490197,34,24.5,47.450980392156865,13.7,47.0,-0.0234375,0.01171875,0.475,1.5625,0.0
1752.75,100,23.75,20.784313725490197,34,24.5,48.627450980392155,13.7,48.0,-0.01953125,-0.0390625,0.475,0.78125,-0.78125
1818.0,100,38.5,27.058823529411764,33,14.0,67.45098039215686,13.7,50.0,0.05078125,0.12890625,0.48,3.125,3.90625
2121.5,100,48.0,30.19607843137255,33,17.0,73.33333333333333,13.7,51.0,-0.09765625,-0.02734375,0.475,0.0,4.6875
2175.75,100,48.25,29.41176470588235,33,19.5,71.76470588235294,13.7,53.0,-0.0859375,-0.0703125,0.475,-2.34375,3.125
2174.0,100,47.0,29.41176470588235,33,19.5,71.76470588235294,13.7,55.0,-0.01171875,-0.015625,0.475,-3.125,2.34375
2186.25,100,46.5,29.41176470588235,33,19.5,70.98039215686275,13.6,57.0,0.015625,0.0,0.475,-1.5625,3.125
2213.5,100,46.25,29.41176470588235,33,20.0,70.58823529411765,13.7,58.0,0.015625,-0.0234375,0.475,-0.78125,3.125
2222.75,100,46.5,28.627450980392158,33,21.5,68.62745098039215,13.7,60.0,-0.03125,-0.01171875,0.48,-1.5625,2.34375
2223.5,100,44.25,28.235294117647058,33,21.0,68.23529411764706,13.7,62.0,-0.03515625,0.0,0.48,-2.34375,1.5625
2231.25,100,45.0,28.627450980392158,33,21.0,68.62745098039215,13.6,63.0,-0.03515625,-0.05078125,0.475,-1.5625,1.5625
2249.75,100,42.75,27.84313725490196,33,19.5,66.27450980392157,13.7,65.0,-0.0078125,-0.03125,0.48,-1.5625,0.78125
2242.25,100,43.5,27.84313725490196,33,19.5,66.27450980392157,13.7,66.0,-0.0234375,0.0,0.48,-1.5625,0.78125
2266.75,100,43.5,27.45098039215686,33,19.5,65.49019607843137,13.7,68.0,-0.03125,-0.03515625,0.48,-3.125,0.0
2249.75,100,42.0,27.058823529411764,33,20.0,63.13725490196079,13.7,68.0,-0.01953125,-0.00390625,0.48,-2.34375,-0.78125
2239.75,100,40.5,26.666666666666668,33,20.0,62.745098039215684,13.7,71.0,0.01171875,0.01953125,0.48,-1.5625,0.0
2249.75,100,42.25,26.666666666666668,33,20.0,62.745098039215684,13.7,72.0,0.03515625,0.0078125,0.48,-1.5625,0.78125
2143.5,100,40.75,26.666666666666668,33,15.0,63.92156862745098,13.7,72.0,-0.06640625,-0.0625,0.475,-1.5625,-1.5625
2086.75,100,40.75,26.666666666666668,33,18.0,65.09803921568627,13.7,73.0,-0.01171875,-0.0078125,0.48,-1.5625,0.0
2076.25,100,42.0,27.058823529411764,33,18.0,65.49019607843137,13.7,73.0,-0.03515625,-0.0078125,0.48,-2.34375,1.5625
2097.75,100,41.25,27.058823529411764,33,18.0,65.88235294117646,13.7,75.0,-0.0234375,0.01953125,0.48,-1.5625,2.34375
2093.5,100,41.25,27.058823529411764,33,18.0,65.09803921568627,13.7,76.0,0.015625,-0.01953125,0.48,0.0,1.5625
2096.5,100,41.25,26.666666666666668,33,18.5,64.70588235294117,13.7,77.0,-0.02734375,-0.02734375,0.48,-2.34375,0.78125
2088.5,100,38.25,25.88235294117647,33,20.0,62.35294117647059,13.6,77.0,-0.04296875,0.0546875,0.48,-2.34375,0.0
2073.25,100,37.5,25.88235294117647,33,20.0,60.78431372549019,13.7,78.0,0.03125,-0.015625,0.48,0.0,-0.78125
2075.75,100,39.25,25.88235294117647,33,20.0,61.568627450980394,13.7,80.0,0.0234375,-0.00390625,0.48,0.0,0.0
2091.5,100,37.5,25.88235294117647,33,20.0,61.1764705882353,13.7,80.0,-0.05859375,-0.015625,0.48,-2.34375,0.0
2088.0,100,37.25,25.88235294117647,33,20.0,60.78431372549019,13.7,81.0,-0.01171875,0.03515625,0.48,-0.78125,1.5625
