RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
1728.5,95,25.0,21.176470588235293,30,29.0,47.84313725490196,13.6,32.0,0.08984375,0.05859375,0.575,7.8125,7.8125
1877.25,95,27.25,21.96078431372549,30,30.0,49.01960784313726,13.7,35.0,-0.0859375,0.0,0.575,7.03125,6.25
1907.75,95,26.75,21.96078431372549,30,30.0,47.84313725490196,13.7,36.0,-0.04296875,-0.05078125,0.58,6.25,2.34375
1922.5,95,26.75,21.96078431372549,30,30.5,47.450980392156865,13.6,38.0,-0.0546875,-0.01171875,0.58,5.46875,2.34375
1953.0,95,28.75,21.96078431372549,29,30.5,47.450980392156865,13.7,40.0,-0.02734375,0.01953125,0.58,3.90625,3.125
1978.75,95,27.0,21.568627450980394,29,31.5,44.705882352941174,13.7,41.0,0.015625,-0.0390625,0.58,5.46875,0.78125
1950.5,95,24.5,20.392156862745097,29,33.5,41.1764705882353,13.7,42.0,-0.078125,-0.03125,0.58,1.5625,0.78125
1906.5,95,22.5,20.0,29,33.0,39.6078431372549,13.6,43.0,0.0,0.04296875,0.58,2.34375,3.125
1904.25,95,21.5,19.607843137254903,29,34.5,38.431372549019606,13.7,43.0,0.04296875,0.00390625,0.58,4.6875,2.34375
1936.5,95,22.25,20.0,29,35.0,38.431372549019606,13.7,45.0,0.03125,0.0234375,0.59,5.46875,4.6875
1939.5,95,16.0,17.647058823529413,29,39.0,29.41176470588235,13.7,46.0,-0.1015625,-0.03515625,0.59,2.34375,3.125
1896.75,95,12.5,14.901960784313726,30,42.5,19.215686274509803,13.7,46.0,-0.01953125,0.02734375,0.59,1.5625,3.90625
1828.5,95,8.75,14.901960784313726,30,20.0,16.862745098039216,13.7,46.0,0.109375,0.16015625,0.59,7.03125,10.15625
1817.0,95,8.5,14.901960784313726,30,51.0,16.862745098039216,13.7,46.0,0.0,0.0234375,0.595,6.25,9.375
1770.5,95,12.75,16.470588235294116,30,38.0,27.84313725490196,13.7,46.0,-0.1953125,-0.25390625,0.595,0.78125,4.6875
1311.5,95,9.75,15.294117647058824,30,35.0,29.41176470588235,13.7,46.0,-0.046875,-0.06640625,0.595,2.34375,2.34375
1297.5,95,12.25,16.862745098039216,30,29.0,37.254901960784316,13.7,47.0,0.078125,0.00390625,0.595,4.6875,2.34375
1464.0,95,17.25,18.03921568627451,30,29.0,41.568627450980394,13.6,47.0,-0.0546875,-0.09375,0.6,1.5625,0.78125
1590.5,95,20.25,19.215686274509803,30,27.5,45.09803921568628,13.6,47.0,-0.01171875,0.0546875,0.6,3.125,-0.78125
1650.25,95,21.75,20.0,30,28.5,45.88235294117647,13.7,48.0,0.07421875,0.0625,0.6,4.6875,3.125
1904.75,95,24.0,20.784313725490197,30,18.5,40.3921568627451,13.7,48.0,0.08203125,0.03125,0.6,7.8125,7.03125
2129.5,95,26.75,21.176470588235293,30,33.5,41.1764705882353,13.7,50.0,-0.08984375,-0.109375,0.6,5.46875,1.5625
2144.75,95,25.75,21.176470588235293,29,34.5,40.3921568627451,13.7,51.0,-0.046875,-0.015625,0.6,0.78125,1.5625
2161.25,95,25.25,20.392156862745097,29,36.5,38.431372549019606,13.7,51.0,-0.01953125,-0.01171875,0.6,0.78125,0.78125
2178.25,95,23.75,20.0,29,37.5,36.470588235294116,13.7,52.0,0.00390625,-0.04296875,0.605,2.34375,-0.78125
2203.75,95,23.75,20.392156862745097,29,38.0,36.470588235294116,13.7,53.0,-0.06640625,-0.02734375,0.605,0.0,0.0
2230.75,95,24.0,20.392156862745097,29,38.0,36.470588235294116,13.7,53.0,0.015625,0.02734375,0.605,2.34375,0.78125
2254.5,95,24.5,20.392156862745097,29,38.0,36.470588235294116,13.7,55.0,-0.078125,-0.046875,0.61,0.78125,-2.34375
2282.5,95,25.0,20.392156862745097,29,39.0,36.86274509803921,13.7,55.0,0.0,0.03515625,0.61,-1.5625,-1.5625
2302.75,95,24.5,20.0,29,39.5,35.68627450980392,13.7,56.0,-0.00390625,-0.0390625,0.61,0.78125,-3.90625
2295.5,95,19.75,17.647058823529413,29,30.5,28.627450980392158,13.7,56.0,-0.05859375,-0.015625,0.61,-3.125,-3.90625
2265.5,95,13.0,16.07843137254902,29,24.0,20.0,13.7,56.0,-0.06640625,0.05078125,0.615,-3.90625,-0.78125
2199.0,95,10.5,15.294117647058824,29,23.0,16.470588235294116,13.7,56.0,0.0703125,0.07421875,0.615,0.0,1.5625
2232.5,95,10.5,15.294117647058824,29,52.5,16.07843137254902,13.6,56.0,0.04296875,0.08984375,0.615,0.78125,5.46875
