RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
1720.5,99,22.25,20.392156862745097,29,30.5,46.666666666666664,13.7,53.0,0.06640625,0.05078125,0.63,7.03125,3.90625
1806.5,99,24.75,21.568627450980394,29,30.5,47.05882352941177,13.6,55.0,-0.01953125,-0.05859375,0.635,6.25,3.125
1869.5,99,27.75,22.352941176470587,29,28.5,49.80392156862745,13.7,55.0,-0.08984375,-0.02734375,0.635,2.34375,2.34375
1947.5,99,32.0,23.92156862745098,29,25.5,54.90196078431372,13.6,56.0,-0.02734375,-0.0078125,0.635,1.5625,1.5625
2061.75,99,40.5,26.274509803921568,29,23.0,62.745098039215684,13.7,57.0,-0.03515625,-0.0859375,0.64,0.0,-0.78125
2096.5,99,39.25,25.88235294117647,29,24.5,60.3921568627451,13.7,58.0,-0.05078125,0.01171875,0.635,-1.5625,1.5625
2086.75,99,39.0,25.88235294117647,29,24.5,61.1764705882353,13.7,58.0,0.0390625,0.05078125,0.635,0.0,2.34375
2120.75,99,39.5,25.88235294117647,28,24.5,61.1764705882353,13.6,61.0,-0.0078125,-0.01953125,0.64,0.0,-0.78125
2106.25,99,37.0,25.098039215686274,28,23.0,57.64705882352941,13.6,61.0,0.00390625,-0.0625,0.64,0.0,-1.5625
2092.75,99,37.25,24.705882352941178,28,23.0,56.470588235294116,13.7,62.0,-0.03515625,0.00390625,0.64,-0.78125,-0.78125
2081.75,99,37.0,24.705882352941178,28,23.0,56.86274509803921,13.7,63.0,-0.046875,0.0234375,0.635,1.5625,0.78125
2103.25,99,38.0,25.098039215686274,28,24.0,58.03921568627451,13.6,65.0,0.00390625,-0.0234375,0.635,0.78125,-0.78125
2126.25,99,34.75,24.313725490196077,28,18.5,56.07843137254902,13.7,65.0,-0.0234375,-0.05859375,0.64,-1.5625,-3.125
1954.25,98,32.5,24.313725490196077,28,24.0,56.470588235294116,13.7,66.0,0.05078125,0.05078125,0.635,0.78125,0.78125
1934.0,99,34.0,24.705882352941178,28,22.5,58.8235294117647,13.7,66.0,-0.01953125,-0.0390625,0.635,1.5625,-0.78125
1972.5,98,37.0,25.88235294117647,28,21.0,63.13725490196079,13.7,67.0,-0.0234375,-0.02734375,0.64,0.0,-1.5625
2043.25,98,41.5,27.45098039215686,28,20.0,66.27450980392157,13.6,67.0,-0.03125,0.0234375,0.635,-2.34375,0.0
2071.5,98,42.25,27.84313725490196,28,20.0,66.66666666666667,13.7,68.0,0.04296875,0.015625,0.63,0.0,0.0
2069.0,98,40.5,26.666666666666668,28,21.5,63.92156862745098,13.7,70.0,-0.0625,-0.0625,0.63,-1.5625,-1.5625
2042.0,98,38.25,26.666666666666668,28,21.5,63.529411764705884,13.7,70.0,0.03125,0.02734375,0.635,-1.5625,0.0
2047.5,98,39.5,26.274509803921568,28,22.5,63.529411764705884,13.7,71.0,-0.0390625,0.01171875,0.64,-0.78125,-0.78125
2051.25,98,39.0,26.274509803921568,28,22.5,62.745098039215684,13.7,72.0,0.01171875,-0.0234375,0.63,0.0,-1.5625
2032.25,98,40.25,26.666666666666668,28,21.5,63.92156862745098,13.7,72.0,0.0390625,0.03125,0.625,0.0,0.78125
2056.75,98,40.25,26.666666666666668,28,21.5,63.92156862745098,13.6,73.0,-0.00390625,0.0078125,0.615,0.78125,0.0
2064.0,98,40.25,26.666666666666668,28,21.5,63.529411764705884,13.7,73.0,-0.01171875,0.015625,0.595,1.5625,0.78125
2080.5,98,39.5,26.666666666666668,28,21.5,63.529411764705884,13.7,75.0,-0.015625,0.03515625,0.595,0.0,1.5625
2077.0,98,40.0,26.666666666666668,28,22.5,63.13725490196079,13.7,75.0,-0.0546875,-0.015625,0.59,-0.78125,1.5625
2084.25,98,39.75,26.666666666666668,28,22.5,63.13725490196079,13.6,76.0,0.0,0.02734375,0.595,0.78125,0.78125
2093.5,98,40.5,26.274509803921568,28,23.0,62.745098039215684,13.7,77.0,-0.078125,-0.0390625,0.58,-0.78125,0.78125
2034.25,98,19.75,18.431372549019606,28,9.5,35.294117647058826,13.7,77.0,-0.11328125,-0.203125,0.6,-3.125,-7.8125
1451.25,98,7.25,13.72549019607843,28,9.0,24.705882352941178,13.6,77.0,-0.2890625,-0.1953125,0.61,-10.15625,-13.28125
1404.25,98,6.5,13.72549019607843,28,14.0,18.823529411764707,13.7,75.0,-0.1796875,0.0546875,0.615,-14.0625,-11.71875
1378.75,98,6.25,13.72549019607843,28,-1.0,17.647058823529413,13.6,72.0,0.03515625,0.0546875,0.615,0.0,0.0
1300.0,98,6.25,13.72549019607843,29,-5.5,18.823529411764707,13.7,67.0,1.4453125,1.79296875,0.59,0.0,0.0
1231.0,98,6.0,13.333333333333334,29,-4.5,18.431372549019606,13.6,65.0,1.875,2.34375,0.405,0.0,0.0
1184.5,99,5.75,13.333333333333334,29,-6.0,19.607843137254903,13.6,62.0,2.1015625,2.46875,0.4,0.0,0.0
1137.5,99,5.5,12.941176470588236,29,-6.0,19.607843137254903,13.6,58.0,2.08984375,2.54296875,0.395,0.0,0.0
1080.25,99,5.5,12.941176470588236,29,-4.0,20.392156862745097,13.7,56.0,2.1953125,2.3203125,0.395,0.0,0.0
949.0,99,4.5,12.941176470588236,29,2.0,21.176470588235293,13.7,53.0,0.87890625,0.234375,0.385,0.0,0.0
946.0,99,5.0,12.941176470588236,29,7.5,21.568627450980394,13.6,51.0,-0.18359375,-0.41796875,0.375,0.0,0.0
963.5,99,4.75,12.941176470588236,29,10.5,21.176470588235293,13.7,48.0,-0.39453125,-0.4453125,0.375,0.0,0.0
1129.75,99,5.0,13.333333333333334,29,13.5,18.823529411764707,13.6,47.0,-0.41015625,-0.44140625,0.365,0.0,0.0
1161.25,99,5.75,13.333333333333334,29,16.5,19.215686274509803,13.6,45.0,-0.265625,-0.25,0.365,0.0,0.0
1118.75,99,5.0,13.333333333333334,29,15.5,19.607843137254903,13.7,42.0,-0.2421875,-0.203125,0.36,-0.78125,0.0
1066.75,99,5.0,12.941176470588236,29,19.5,19.607843137254903,13.7,40.0,-0.2109375,-0.18359375,0.355,-0.78125,0.0
997.75,99,4.75,12.941176470588236,29,18.5,20.0,13.7,37.0,-0.19140625,-0.21875,0.355,0.0,0.0
942.25,99,4.5,12.549019607843137,29,16.5,21.176470588235293,13.6,36.0,-0.21875,-0.26953125,0.35,-0.78125,-1.5625
892.75,99,4.25,12.549019607843137,29,15.0,21.568627450980394,13.6,33.0,-0.2734375,-0.296875,0.35,-1.5625,-2.34375
838.0,99,4.0,12.549019607843137,29,14.0,21.96078431372549,13.6,31.0,-0.2734375,-0.30078125,0.35,-2.34375,-3.125
767.75,99,3.75,12.549019607843137,29,15.5,22.352941176470587,13.6,28.0,-0.27734375,-0.28515625,0.345,-3.125,-3.90625
740.25,99,3.75,12.549019607843137,29,13.5,22.745098039215687,13.7,26.0,-0.25390625,-0.234375,0.345,-3.125,-4.6875
767.0,99,4.0,12.549019607843137,29,10.5,22.745098039215687,13.7,25.0,-0.22265625,-0.203125,0.345,-3.125,-4.6875
804.25,99,4.0,12.156862745098039,30,8.0,21.96078431372549,13.6,22.0,-0.22265625,-0.203125,0.34,-3.90625,-3.90625
861.75,99,3.75,12.156862745098039,30,15.5,20.0,13.7,20.0,-0.23046875,-0.1953125,0.34,-3.90625,-3.90625
807.25,99,3.75,12.156862745098039,30,18.0,20.392156862745097,13.6,17.0,-0.203125,-0.1953125,0.34,-3.125,-3.90625
750.0,99,3.75,12.156862745098039,30,16.5,21.176470588235293,13.6,16.0,-0.203125,-0.22265625,0.34,-3.125,-4.6875
806.25,99,3.25,12.156862745098039,30,14.0,20.0,13.7,13.0,-0.19921875,-0.19921875,0.34,-3.125,-3.90625
757.25,99,3.25,12.156862745098039,30,27.0,19.215686274509803,13.6,12.0,-0.21875,-0.1796875,0.34,-3.90625,-3.90625
690.75,99,3.5,12.156862745098039,30,26.0,20.784313725490197,13.6,10.0,-0.18359375,-0.19921875,0.34,-3.125,-3.90625
614.0,99,6.25,13.72549019607843,30,4.5,31.372549019607842,13.6,8.0,-0.12890625,-0.1328125,0.34,-2.34375,-3.125
675.0,99,4.25,12.549019607843137,30,1.5,31.372549019607842,13.6,6.0,-0.16796875,-0.06640625,0.34,-1.5625,-1.5625
