RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
2409.5,100,30.25,22.745098039215687,33,25.5,50.588235294117645,13.7,101.0,0.01953125,0.03125,0.765,0.78125,0.78125
1947.5,100,30.0,23.137254901960784,33,24.5,51.76470588235294,13.7,101.0,-0.0546875,0.03125,0.765,1.5625,0.78125
1890.75,100,29.25,23.137254901960784,33,24.5,52.549019607843135,13.6,101.0,0.0078125,0.0,0.76,3.125,0.0
1882.25,100,30.5,23.92156862745098,33,23.0,54.11764705882353,13.6,101.0,-0.015625,-0.04296875,0.755,2.34375,0.0
1882.75,100,32.25,25.098039215686274,33,21.0,58.431372549019606,13.6,101.0,-0.02734375,0.0390625,0.755,0.0,2.34375
1886.5,101,37.25,26.666666666666668,33,18.5,64.70588235294117,13.6,101.0,-0.0234375,0.03125,0.75,-0.78125,1.5625
1878.5,101,38.25,27.45098039215686,33,17.0,66.66666666666667,13.6,101.0,0.01953125,0.04296875,0.74,1.5625,2.34375
1882.75,101,38.0,27.45098039215686,33,17.0,67.45098039215686,13.6,101.0,0.0234375,-0.03125,0.74,0.78125,3.125
1890.75,101,38.25,27.45098039215686,33,17.0,67.45098039215686,13.6,101.0,-0.02734375,0.015625,0.735,0.0,3.90625
1889.0,101,38.25,27.45098039215686,33,17.0,67.84313725490196,13.6,102.0,-0.01171875,0.01953125,0.735,0.0,3.90625
1893.75,101,38.75,27.84313725490196,33,17.0,67.05882352941177,13.7,102.0,-0.01171875,-0.0546875,0.73,0.78125,0.78125
1895.75,101,32.75,23.92156862745098,33,23.0,55.68627450980392,13.7,102.0,-0.02734375,-0.1328125,0.735,0.0,-3.90625
1896.25,102,27.5,21.568627450980394,33,27.0,47.84313725490196,13.6,102.0,-0.06640625,-0.0625,0.74,-3.125,-4.6875
1890.75,102,24.25,20.784313725490197,33,30.0,43.13725490196079,13.6,101.0,0.03125,0.0390625,0.74,-0.78125,-1.5625
1878.5,102,24.0,20.784313725490197,33,30.0,43.529411764705884,13.6,101.0,0.0,0.01171875,0.74,0.0,-3.125
1876.75,102,25.0,21.176470588235293,33,29.0,44.705882352941174,13.6,101.0,0.01953125,-0.02734375,0.74,0.78125,-2.34375
1873.75,102,25.0,21.176470588235293,33,29.0,45.09803921568628,13.6,101.0,-0.0390625,-0.00390625,0.74,0.78125,-1.5625
1865.0,102,25.25,21.176470588235293,33,29.0,45.09803921568628,13.7,100.0,-0.04296875,0.01953125,0.74,0.0,0.0
1848.75,102,9.75,14.901960784313726,33,11.0,21.568627450980394,13.7,98.0,0.03125,-0.00390625,0.74,3.125,1.5625
1842.0,102,9.5,14.901960784313726,33,6.5,17.254901960784313,13.7,98.0,-0.03515625,-0.05078125,0.74,2.34375,0.0
1827.25,102,9.5,14.901960784313726,34,-1.0,17.254901960784313,13.7,97.0,1.7578125,1.796875,0.74,0.0,0.0
1795.5,102,8.75,14.901960784313726,34,-1.5,16.862745098039216,13.6,96.0,2.26953125,2.421875,0.18,0.0,0.0
1777.25,102,8.5,14.509803921568627,34,-1.5,16.862745098039216,13.6,95.0,2.47265625,2.28125,0.11,0.0,0.0
1735.75,102,8.25,14.509803921568627,34,-1.5,16.862745098039216,13.6,92.0,2.515625,2.26953125,0.09,0.0,0.0
1713.75,102,8.0,14.509803921568627,34,-2.5,17.254901960784313,13.6,91.0,2.3046875,2.640625,0.08,0.0,0.0
1661.75,102,7.75,14.117647058823529,34,-2.5,17.647058823529413,13.6,88.0,2.34375,2.65625,0.07,0.0,0.0
1588.5,102,7.75,14.117647058823529,34,-2.5,17.647058823529413,13.6,83.0,2.39453125,2.5390625,0.06,0.0,0.0
1527.5,102,7.5,14.117647058823529,35,-4.0,18.431372549019606,13.6,81.0,2.3125,2.35546875,0.06,0.0,0.0
1497.75,102,7.25,14.117647058823529,35,-4.0,18.03921568627451,13.6,80.0,2.52734375,2.3671875,0.06,0.0,0.0
1478.25,102,7.0,13.72549019607843,35,-3.0,18.03921568627451,13.6,78.0,2.39453125,2.25390625,0.055,0.0,0.0
1258.5,102,6.75,13.333333333333334,35,-4.5,20.392156862745097,13.7,77.0,2.234375,2.16796875,0.055,0.0,0.0
1169.25,102,5.0,12.941176470588236,35,6.0,18.431372549019606,13.6,76.0,0.1953125,0.046875,0.06,0.0,0.0
1437.75,102,19.0,18.823529411764707,35,19.5,38.03921568627451,13.7,76.0,-0.41796875,-0.5625,0.08,0.0,0.0
1679.0,102,22.25,20.0,35,21.5,45.88235294117647,13.7,76.0,-0.265625,-0.1328125,0.1,-3.90625,-3.90625
1758.25,102,23.0,20.392156862745097,35,28.5,45.88235294117647,13.7,76.0,0.05078125,-0.01953125,0.115,3.125,0.78125
1411.5,102,22.25,21.176470588235293,34,18.5,58.431372549019606,13.7,76.0,-0.1015625,-0.14453125,0.125,1.5625,-0.78125
1426.25,102,22.5,21.176470588235293,34,21.0,58.8235294117647,13.6,76.0,-0.125,-0.078125,0.135,1.5625,0.0
1427.5,102,23.5,22.745098039215687,34,20.0,63.529411764705884,13.6,76.0,-0.0625,-0.1015625,0.155,2.34375,0.0
1430.5,102,25.75,23.92156862745098,34,18.5,66.27450980392157,13.6,77.0,-0.0859375,-0.0625,0.245,3.125,2.34375
1537.25,102,28.75,25.098039215686274,34,18.5,69.01960784313725,13.7,77.0,-0.1796875,-0.1640625,0.645,0.78125,1.5625
1541.0,102,28.5,24.705882352941178,34,20.0,62.35294117647059,13.6,77.0,-0.1953125,-0.1875,0.71,-0.78125,-0.78125
1447.0,102,22.75,21.96078431372549,34,23.0,59.21568627450981,13.6,77.0,-0.1171875,-0.15625,0.74,-0.78125,-2.34375
1450.75,102,22.75,21.568627450980394,34,23.0,58.8235294117647,13.6,77.0,-0.07421875,0.0,0.735,0.0,-0.78125
1456.25,102,23.75,22.352941176470587,34,22.5,60.78431372549019,13.7,78.0,0.02734375,0.03515625,0.725,0.78125,0.78125
1458.5,102,23.75,22.352941176470587,34,21.5,61.568627450980394,13.6,78.0,0.015625,-0.0078125,0.735,2.34375,1.5625
1467.25,102,24.5,22.745098039215687,34,22.5,61.1764705882353,13.6,78.0,0.02734375,-0.0078125,0.74,2.34375,-0.78125
1470.75,102,24.25,22.745098039215687,34,21.5,61.96078431372549,13.7,78.0,-0.03125,-0.01953125,0.74,1.5625,-1.5625
1480.5,102,22.5,21.96078431372549,34,23.0,59.21568627450981,13.7,80.0,-0.03515625,-0.01171875,0.74,0.0,0.0
1479.25,102,23.0,21.96078431372549,34,24.5,57.254901960784316,13.6,80.0,-0.02734375,-0.0390625,0.75,1.5625,0.78125
1780.25,102,27.0,22.745098039215687,34,24.5,51.372549019607845,13.6,80.0,-0.04296875,-0.01171875,0.75,-0.78125,-1.5625
1744.25,102,27.5,22.352941176470587,34,24.5,56.470588235294116,13.7,80.0,-0.015625,-0.02734375,0.755,0.78125,-1.5625
1495.25,102,23.5,21.96078431372549,34,24.5,58.03921568627451,13.7,80.0,-0.0234375,0.015625,0.755,0.0,-0.78125
1497.0,102,23.0,21.176470588235293,34,25.5,56.07843137254902,13.6,80.0,-0.05859375,-0.015625,0.76,-1.5625,-1.5625
1499.5,102,21.75,20.784313725490197,34,27.0,52.15686274509804,13.7,81.0,-0.01953125,-0.06640625,0.765,-0.78125,-4.6875
1694.25,102,22.0,20.392156862745097,34,29.0,43.529411764705884,13.6,81.0,-0.02734375,-0.00390625,0.765,-3.125,-3.125
1813.75,102,23.5,20.784313725490197,34,30.0,45.09803921568628,13.7,81.0,0.0234375,0.046875,0.76,0.0,0.78125
1502.0,102,17.5,18.823529411764707,34,30.5,44.705882352941174,13.6,81.0,-0.01171875,-0.05859375,0.76,-0.78125,-0.78125
1499.0,102,17.75,18.823529411764707,34,30.0,44.31372549019608,13.7,80.0,-0.046875,-0.0546875,0.765,-0.78125,-3.125
1701.5,102,20.5,19.607843137254903,34,30.0,43.13725490196079,13.6,80.0,-0.109375,-0.01953125,0.765,-3.90625,-1.5625
1775.5,102,22.25,20.784313725490197,34,28.5,44.705882352941174,13.7,80.0,0.0546875,0.0859375,0.765,-0.78125,1.5625
1837.0,102,25.25,21.568627450980394,34,28.5,46.666666666666664,13.7,81.0,0.0703125,-0.0546875,0.765,3.90625,0.0
1881.5,102,26.0,21.96078431372549,34,29.0,50.588235294117645,13.6,81.0,-0.0078125,-0.08984375,0.765,2.34375,-2.34375
1500.0,102,22.0,21.176470588235293,34,24.0,55.68627450980392,13.6,81.0,-0.05859375,-0.05859375,0.77,0.0,-0.78125
1505.5,102,22.0,21.176470588235293,34,24.0,54.90196078431372,13.6,81.0,-0.01953125,0.05859375,0.77,-0.78125,0.0
1509.25,102,23.0,21.568627450980394,34,24.5,56.86274509803921,13.6,81.0,0.0,-0.05078125,0.77,1.5625,0.0
1513.0,102,23.25,21.568627450980394,34,24.5,57.254901960784316,13.7,81.0,-0.00390625,-0.015625,0.77,1.5625,-2.34375
1512.25,102,23.75,22.352941176470587,34,21.5,61.568627450980394,13.6,81.0,-0.03515625,0.05078125,0.77,-0.78125,-0.78125
1515.5,102,25.0,23.137254901960784,34,21.0,62.745098039215684,13.7,81.0,0.01953125,0.046875,0.77,0.0,0.78125
1519.75,102,26.25,23.529411764705884,34,20.0,64.31372549019608,13.6,82.0,0.01953125,-0.00390625,0.77,1.5625,-0.78125
1524.5,102,16.75,18.431372549019606,34,17.0,46.666666666666664,13.7,81.0,-0.16796875,-0.234375,0.775,-2.34375,-5.46875
1519.75,102,8.75,14.509803921568627,34,12.0,26.666666666666668,13.6,81.0,0.00390625,0.03125,0.775,-3.125,-2.34375
1518.5,102,7.5,14.117647058823529,34,16.5,19.215686274509803,13.6,81.0,0.03515625,0.0546875,0.77,-1.5625,-0.78125
1496.5,102,7.5,14.117647058823529,35,2.0,18.823529411764707,13.6,80.0,0.01171875,0.03125,0.77,0.0,0.0
1478.75,102,7.25,14.117647058823529,35,-4.0,18.823529411764707,13.7,78.0,1.28515625,1.484375,0.765,0.0,0.0
1458.5,102,7.25,14.117647058823529,35,-4.0,18.431372549019606,13.6,77.0,2.25390625,2.07421875,0.375,0.0,0.0
1441.5,102,7.0,14.117647058823529,35,-4.0,18.823529411764707,13.6,76.0,2.421875,2.19140625,0.245,0.0,0.0
1397.0,102,6.75,13.72549019607843,35,-4.5,18.823529411764707,13.6,72.0,2.28125,2.55859375,0.18,0.0,0.0
1315.75,102,6.0,13.72549019607843,35,-4.5,18.431372549019606,13.6,67.0,2.25,2.44921875,0.145,0.0,0.0
917.25,102,5.75,13.333333333333334,35,-4.5,22.352941176470587,13.6,65.0,1.5546875,1.640625,0.13,0.0,0.0
1032.0,102,5.0,12.941176470588236,35,5.0,21.176470588235293,13.6,63.0,0.12890625,-0.1015625,0.125,0.0,0.0
1119.25,102,5.5,13.333333333333334,35,9.0,20.0,13.6,61.0,-0.2421875,-0.30859375,0.125,0.0,0.0
1121.75,102,5.5,13.333333333333334,35,15.0,20.0,13.6,58.0,-0.3359375,-0.27734375,0.125,0.0,0.0
1089.25,102,5.0,12.941176470588236,35,21.0,20.0,13.6,56.0,-0.21484375,-0.14453125,0.125,0.0,0.0
1056.5,102,4.75,12.941176470588236,35,24.5,19.607843137254903,13.6,56.0,-0.1875,-0.13671875,0.13,0.78125,1.5625
1148.0,102,16.25,18.431372549019606,35,15.5,44.31372549019608,13.6,55.0,-0.3046875,-0.359375,0.13,-2.34375,-2.34375
1476.25,102,22.5,20.392156862745097,35,15.5,50.98039215686274,13.6,55.0,0.04296875,-0.0703125,0.14,0.78125,-0.78125
1648.5,102,26.0,21.96078431372549,35,15.5,54.90196078431372,13.7,55.0,-0.02734375,-0.0546875,0.145,1.5625,0.78125
1746.75,102,30.25,24.705882352941178,35,15.5,58.8235294117647,13.6,56.0,-0.05078125,-0.03515625,0.155,3.125,4.6875
1863.25,102,35.5,27.45098039215686,35,16.5,63.529411764705884,13.7,56.0,-0.125,-0.140625,0.23,2.34375,3.90625
1953.5,102,37.75,29.019607843137255,34,18.0,64.31372549019608,13.6,57.0,-0.1328125,-0.15625,0.675,0.78125,3.125
1974.25,102,38.25,29.41176470588235,34,17.0,64.70588235294117,13.7,58.0,-0.09765625,-0.09375,0.735,0.78125,2.34375
1969.5,102,37.0,27.45098039215686,34,18.0,62.745098039215684,13.6,58.0,-0.09765625,-0.109375,0.76,-0.78125,1.5625
