RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B2S2,SHORT_FUEL_TRIM_1,SHORT_FUEL_TRIM_2
2006.0,93,36.0,25.49019607843137,39,23.0,58.8235294117647,13.4,40.0,-0.15234375,-0.05859375,0.595,-6.25,-4.6875
1950.5,93,28.0,21.568627450980394,39,22.5,48.627450980392155,13.5,42.0,0.03125,0.01953125,0.59,-3.90625,-1.5625
1634.5,93,24.0,21.176470588235293,39,27.0,53.72549019607843,13.4,43.0,0.02734375,-0.0078125,0.595,0.0,-0.78125
1644.25,93,25.25,21.568627450980394,39,27.0,55.294117647058826,13.5,45.0,0.046875,0.01953125,0.59,1.5625,-0.78125
1676.0,93,25.25,21.568627450980394,39,27.0,54.509803921568626,13.5,45.0,0.0078125,-0.0234375,0.59,0.78125,-0.78125
1668.5,93,24.25,21.176470588235293,39,27.0,53.72549019607843,13.4,46.0,-0.01953125,-0.0078125,0.59,0.78125,1.5625
1671.0,93,23.25,20.784313725490197,39,27.5,51.76470588235294,13.4,47.0,-0.0078125,-0.015625,0.59,0.0,0.78125
1651.0,93,22.75,20.392156862745097,39,28.5,49.01960784313726,13.5,47.0,0.0,0.0,0.595,0.78125,-1.5625
1607.5,93,20.5,19.607843137254903,39,29.0,47.450980392156865,13.4,48.0,0.02734375,-0.02734375,0.595,0.78125,-1.5625
1591.0,93,20.0,19.607843137254903,39,27.5,47.84313725490196,13.5,48.0,-0.015625,0.0078125,0.595,-0.78125,0.0
1591.75,93,20.0,19.215686274509803,39,29.0,46.27450980392157,13.4,50.0,0.0078125,0.015625,0.595,0.0,0.78125
1555.0,93,17.25,18.431372549019606,39,32.0,43.13725490196079,13.4,50.0,0.0078125,0.046875,0.595,0.78125,2.34375
1520.75,93,16.75,18.431372549019606,39,31.5,42.35294117647059,13.4,51.0,0.05859375,0.02734375,0.595,4.6875,2.34375
1523.25,93,19.25,19.215686274509803,39,27.5,46.666666666666664,13.5,51.0,-0.1015625,-0.140625,0.595,2.34375,-1.5625
1606.25,93,20.25,20.0,39,27.5,48.23529411764706,13.5,51.0,-0.046875,0.05078125,0.595,-0.78125,0.0
1705.75,93,26.0,22.352941176470587,39,24.0,55.68627450980392,13.5,52.0,-0.01171875,0.0625,0.595,0.78125,0.78125
1800.5,93,28.5,23.529411764705884,39,24.5,55.294117647058826,13.4,53.0,0.0703125,-0.04296875,0.59,6.25,0.78125
1885.75,93,33.25,25.098039215686274,40,24.0,59.21568627450981,13.5,55.0,-0.046875,-0.0078125,0.595,3.90625,0.0
1918.75,93,31.75,24.313725490196077,40,25.5,55.68627450980392,13.5,56.0,-0.01171875,-0.01953125,0.595,3.125,0.0
1909.0,93,29.5,23.137254901960784,40,27.0,52.94117647058823,13.5,56.0,-0.0234375,0.01171875,0.595,2.34375,1.5625
1851.0,93,24.5,21.568627450980394,40,29.0,47.450980392156865,13.5,57.0,-0.0390625,0.00390625,0.595,2.34375,1.5625
1810.75,93,25.5,21.96078431372549,40,28.5,49.01960784313726,13.4,57.0,0.0234375,0.03125,0.595,6.25,3.125
1842.0,93,26.25,21.568627450980394,40,28.5,48.627450980392155,13.4,58.0,0.0078125,-0.04296875,0.595,5.46875,0.78125
1749.75,93,22.0,20.0,40,25.5,47.84313725490196,13.5,58.0,-0.1796875,-0.0625,0.6,-1.5625,-1.5625
1455.0,93,10.75,15.294117647058824,40,8.0,35.294117647058826,13.4,60.0,-0.19921875,-0.140625,0.6,-4.6875,-3.90625
1096.0,93,6.5,13.72549019607843,40,6.5,27.84313725490196,13.3,58.0,0.01171875,0.0390625,0.6,-3.125,-3.125
1075.25,93,6.0,13.72549019607843,39,11.0,24.705882352941178,13.5,58.0,0.01171875,0.05859375,0.6,-2.34375,-1.5625
1066.75,93,6.5,13.72549019607843,39,13.5,24.705882352941178,13.4,58.0,-0.02734375,0.00390625,0.6,-3.90625,-0.78125
1050.25,93,6.5,13.72549019607843,39,15.0,25.49019607843137,13.3,57.0,-0.01171875,0.01171875,0.6,-3.125,0.0
1032.5,93,6.5,13.72549019607843,39,15.0,26.274509803921568,13.3,56.0,-0.0078125,0.015625,0.6,-2.34375,-0.78125
1024.75,93,5.75,13.333333333333334,39,18.5,24.705882352941178,13.4,55.0,0.01171875,0.015625,0.6,-3.125,-0.78125
1084.5,93,5.75,13.333333333333334,39,13.5,22.352941176470587,13.4,55.0,0.00390625,0.00390625,0.6,-3.125,0.78125
1206.5,93,5.5,13.333333333333334,39,21.5,18.823529411764707,13.4,53.0,0.00390625,-0.0078125,0.6,-1.5625,0.0
1210.75,93,5.5,13.333333333333334,39,27.5,18.823529411764707,13.4,53.0,0.02734375,0.046875,0.605,0.0,1.5625
1199.75,93,5.75,13.333333333333334,39,24.5,19.215686274509803,13.4,52.0,0.01171875,0.0078125,0.6,-1.5625,2.34375
1174.75,93,5.75,13.333333333333334,39,21.5,19.607843137254903,13.4,52.0,-0.01171875,-0.0546875,0.6,-1.5625,1.5625
1148.0,93,5.5,13.333333333333334,39,22.5,19.607843137254903,13.4,51.0,-0.01953125,-0.06640625,0.6,-1.5625,0.78125
1129.75,93,5.5,13.333333333333334,39,24.5,19.607843137254903,13.4,50.0,-0.02734375,-0.03515625,0.6,-0.78125,-0.78125
1088.25,93,4.75,12.941176470588236,39,23.0,20.0,13.4,48.0,0.02734375,-0.015625,0.6,-0.78125,-1.5625
1091.25,93,7.25,14.509803921568627,39,30.0,25.49019607843137,13.4,48.0,-0.04296875,-0.0546875,0.6,-2.34375,0.0
1372.5,93,12.5,15.686274509803921,39,1.5,36.86274509803921,13.5,48.0,0.02734375,0.01953125,0.6,-1.5625,0.78125
1149.75,93,6.5,13.333333333333334,39,5.0,25.88235294117647,13.4,47.0,0.046875,0.01171875,0.6,0.78125,1.5625
1116.25,93,4.75,12.941176470588236,39,29.0,20.0,13.5,45.0,-0.0546875,-0.05859375,0.595,-0.78125,-0.78125
1030.75,93,5.5,13.333333333333334,39,21.5,21.568627450980394,13.5,43.0,0.01171875,0.015625,0.595,0.0,0.0
982.0,93,5.0,12.941176470588236,39,21.5,21.96078431372549,13.4,42.0,0.01171875,0.0078125,0.595,-0.78125,1.5625
946.0,93,4.75,12.941176470588236,39,21.0,22.745098039215687,13.4,41.0,-0.05078125,-0.07421875,0.595,-2.34375,0.0
896.5,93,4.5,12.941176470588236,39,22.5,23.529411764705884,13.4,37.0,-0.140625,-0.140625,0.595,-3.125,-3.125
850.0,93,4.75,12.941176470588236,39,21.5,25.098039215686274,13.4,36.0,-0.0859375,-0.1015625,0.6,-3.90625,-4.6875
814.75,93,5.0,12.941176470588236,39,18.0,26.274509803921568,13.4,35.0,-0.01953125,0.0,0.595,-4.6875,-2.34375
798.25,93,4.75,12.941176470588236,39,16.5,26.666666666666668,13.4,33.0,-0.01171875,0.0,0.595,-3.125,-2.34375
779.25,93,5.0,12.941176470588236,39,17.0,27.058823529411764,13.4,32.0,-0.01953125,0.00390625,0.595,-3.90625,-3.125
755.0,93,5.0,12.941176470588236,39,19.5,28.235294117647058,13.4,30.0,0.0,0.00390625,0.595,-3.125,-3.125
718.75,93,5.0,12.941176470588236,39,11.0,30.58823529411765,13.3,30.0,0.046875,0.03125,0.595,-3.90625,-0.78125
717.75,93,4.75,12.941176470588236,39,10.5,31.372549019607842,13.4,28.0,-0.01953125,-0.03125,0.59,-2.34375,-1.5625
703.5,93,4.75,12.941176470588236,39,21.5,31.764705882352942,13.3,21.0,-0.03515625,-0.02734375,0.59,-3.125,-3.125
