RPM,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2
1105.25,30,11.5,16.07843137254902,32,-2.5,42.35294117647059,13.5,0.0,0.015625,0.01953125,0.445,0.44,0.0,1.5625,0.0,-2.34375
1062.5,30,11.5,16.07843137254902,32,-2.5,43.529411764705884,13.6,0.0,0.015625,0.0234375,0.445,0.44,0.0,1.5625,0.0,-2.34375
1091.75,30,11.25,16.07843137254902,31,-2.5,42.745098039215684,13.6,0.0,-0.015625,0.0234375,0.445,0.445,0.0,1.5625,0.0,-2.34375
1090.0,30,11.0,15.686274509803921,31,-2.5,41.1764705882353,13.6,0.0,-0.1171875,-0.046875,0.445,0.44,0.0,1.5625,0.0,-2.34375
1066.25,30,11.25,15.686274509803921,31,-2.5,42.745098039215684,13.5,0.0,-0.25,-0.109375,0.445,0.44,0.0,1.5625,0.0,-2.34375
1068.0,30,11.25,15.686274509803921,31,-1.5,42.745098039215684,13.6,0.0,-0.4921875,-0.23046875,0.445,0.44,0.0,1.5625,0.0,-2.34375
1077.25,30,11.25,15.686274509803921,31,-2.5,42.745098039215684,13.6,0.0,-0.35546875,-0.40234375,0.445,0.44,0.0,1.5625,0.0,-2.34375
1079.0,31,11.25,16.07843137254902,31,-2.5,42.35294117647059,13.6,0.0,-0.3203125,-0.3125,0.445,0.445,0.0,1.5625,0.0,-2.34375
1069.25,31,11.0,15.686274509803921,31,-1.5,42.745098039215684,13.5,0.0,-0.28125,-0.2890625,0.445,0.445,0.0,1.5625,0.0,-2.34375
1076.5,31,11.5,16.07843137254902,31,-2.5,42.745098039215684,13.6,0.0,-0.25390625,-0.24609375,0.445,0.445,0.0,1.5625,0.0,-2.34375
1062.5,31,11.25,15.686274509803921,31,-1.5,43.529411764705884,13.6,0.0,-0.19140625,-0.23046875,0.445,0.44,-5.46875,1.5625,0.0,-2.34375
1072.25,31,11.25,16.07843137254902,31,-1.5,43.13725490196079,13.6,0.0,-0.1015625,-0.2109375,0.445,0.44,-7.8125,1.5625,-3.90625,-2.34375
1066.75,32,11.25,16.07843137254902,31,-1.0,43.92156862745098,13.6,0.0,-0.03125,-0.1171875,0.44,0.44,-7.8125,1.5625,-6.25,-2.34375
1079.5,32,11.75,16.07843137254902,31,-1.5,45.09803921568628,13.6,0.0,0.00390625,-0.015625,0.445,0.445,-5.46875,1.5625,-4.6875,-2.34375
1083.25,32,11.75,16.07843137254902,31,-1.5,45.09803921568628,13.6,0.0,-0.015625,-0.015625,0.445,0.44,-3.125,1.5625,-3.125,-2.34375
1082.75,32,12.0,16.07843137254902,31,-3.0,44.31372549019608,13.6,0.0,-0.03125,-0.03515625,0.44,0.44,-3.125,1.5625,-2.34375,-2.34375
1091.25,33,11.75,16.07843137254902,31,-2.5,43.529411764705884,13.6,0.0,-0.078125,-0.09765625,0.44,0.445,-3.90625,1.5625,-3.125,-2.34375
1070.5,33,11.5,16.07843137254902,31,-2.5,44.31372549019608,13.6,0.0,-0.046875,-0.06640625,0.44,0.44,-3.90625,1.5625,-3.90625,-2.34375
1070.5,33,11.5,16.07843137254902,31,-2.5,44.31372549019608,13.6,0.0,-0.0234375,-0.03125,0.44,0.44,-3.125,1.5625,-3.125,-2.34375
1044.75,33,11.5,16.07843137254902,31,-1.5,45.09803921568628,13.6,0.0,-0.01953125,-0.01953125,0.44,0.445,-2.34375,1.5625,-1.5625,-2.34375
1069.75,33,11.75,16.07843137254902,31,-2.5,45.09803921568628,13.6,0.0,-0.05078125,-0.0078125,0.44,0.44,-1.5625,1.5625,0.0,-2.34375
1080.75,33,11.75,16.07843137254902,31,-2.5,43.529411764705884,13.6,0.0,-0.0546875,-0.03515625,0.44,0.44,-0.78125,1.5625,0.0,-2.34375
1072.25,34,11.5,16.07843137254902,31,-3.0,44.705882352941174,13.6,0.0,-0.0703125,-0.0546875,0.44,0.44,-0.78125,1.5625,0.0,-2.34375
1087.5,34,11.25,16.07843137254902,31,-2.5,43.529411764705884,13.6,0.0,-0.06640625,-0.0390625,0.44,0.44,-0.78125,1.5625,0.0,-2.34375
1071.0,34,11.25,15.686274509803921,31,-3.0,43.13725490196079,13.6,0.0,-0.07421875,-0.0546875,0.44,0.445,-1.5625,1.5625,-0.78125,-2.34375
1048.5,35,11.25,15.686274509803921,31,-1.5,43.13725490196079,13.6,0.0,-0.04296875,-0.02734375,0.44,0.44,-1.5625,1.5625,-0.78125,-2.34375
1039.25,35,11.0,15.686274509803921,31,-1.5,43.13725490196079,13.6,0.0,-0.015625,-0.03515625,0.44,0.44,-0.78125,1.5625,0.78125,-2.34375
1052.0,35,11.25,15.686274509803921,31,-2.5,43.529411764705884,13.6,0.0,-0.0234375,-0.04296875,0.445,0.44,0.78125,1.5625,1.5625,-2.34375
1060.0,36,11.25,15.686274509803921,31,-2.5,43.13725490196079,13.6,0.0,-0.0546875,-0.05078125,0.44,0.445,0.78125,1.5625,1.5625,-2.34375
1053.25,36,11.0,15.686274509803921,31,-3.0,42.745098039215684,13.6,0.0,-0.0625,-0.0390625,0.44,0.44,0.78125,1.5625,1.5625,-2.34375
1041.75,36,11.0,15.686274509803921,31,-3.0,43.13725490196079,13.6,0.0,-0.05859375,-0.0390625,0.44,0.445,0.78125,1.5625,1.5625,-2.34375
1047.75,36,10.75,15.686274509803921,31,-3.0,43.13725490196079,13.6,0.0,-0.03125,-0.05859375,0.445,0.44,0.78125,1.5625,1.5625,-2.34375
1054.0,36,11.25,15.686274509803921,31,-3.0,43.13725490196079,13.5,0.0,-0.04296875,-0.0546875,0.44,0.44,1.5625,1.5625,1.5625,-2.34375
1042.25,36,10.75,15.686274509803921,31,-2.5,42.745098039215684,13.6,0.0,-0.046875,-0.05859375,0.44,0.44,1.5625,1.5625,1.5625,-2.34375
1043.0,37,10.75,15.686274509803921,31,-2.5,42.745098039215684,13.6,0.0,-0.03515625,-0.03515625,0.445,0.445,2.34375,1.5625,2.34375,-2.34375
1052.75,37,11.0,15.686274509803921,31,-3.0,43.529411764705884,13.6,0.0,-0.03515625,-0.04296875,0.44,0.445,2.34375,1.5625,2.34375,-2.34375
1026.0,37,10.75,15.686274509803921,31,-3.0,43.529411764705884,13.6,0.0,-0.0546875,-0.0390625,0.44,0.44,2.34375,1.5625,3.125,-2.34375
1030.75,38,11.25,15.686274509803921,31,-3.0,44.31372549019608,13.6,0.0,-0.0546875,-0.0390625,0.445,0.445,2.34375,1.5625,3.125,-2.34375
1032.5,38,11.0,15.686274509803921,31,-4.0,44.31372549019608,13.6,0.0,-0.046875,-0.0390625,0.44,0.44,3.125,1.5625,3.125,-2.34375
1026.5,38,11.0,15.686274509803921,31,-4.0,43.529411764705884,13.6,0.0,-0.046875,-0.0546875,0.445,0.445,2.34375,1.5625,3.125,-2.34375
1046.0,39,11.0,15.686274509803921,31,-3.0,43.92156862745098,13.6,0.0,-0.0703125,-0.0546875,0.44,0.445,1.5625,1.5625,2.34375,-2.34375
1038.0,39,11.0,15.686274509803921,31,-4.5,43.529411764705884,13.6,0.0,-0.0546875,-0.03515625,0.44,0.44,1.5625,1.5625,2.34375,-2.34375
1024.0,39,10.75,15.686274509803921,31,-4.0,43.529411764705884,13.6,0.0,-0.02734375,-0.0390625,0.445,0.44,1.5625,1.5625,2.34375,-2.34375
1032.5,39,10.75,15.686274509803921,31,-3.0,43.529411764705884,13.6,0.0,-0.02734375,-0.02734375,0.44,0.44,2.34375,1.5625,3.125,-2.34375
1028.25,39,10.75,15.686274509803921,31,-3.0,43.92156862745098,13.6,0.0,-0.0390625,-0.03125,0.44,0.44,2.34375,1.5625,3.125,-2.34375
1027.75,39,10.75,15.686274509803921,31,-3.0,43.529411764705884,13.6,0.0,-0.01953125,-0.046875,0.44,0.44,2.34375,1.5625,2.34375,-2.34375
1035.75,40,10.75,15.686274509803921,31,-3.0,42.745098039215684,13.6,0.0,-0.04296875,-0.015625,0.44,0.445,2.34375,1.5625,2.34375,-2.34375
1018.5,40,10.5,15.686274509803921,31,-3.0,43.13725490196079,13.6,0.0,-0.03125,-0.01171875,0.44,0.445,2.34375,1.5625,2.34375,-2.34375
1028.25,40,10.25,15.686274509803921,31,-3.0,42.35294117647059,13.6,0.0,-0.04296875,-0.03125,0.44,0.445,2.34375,1.5625,2.34375,-2.34375
