date, COOLANT_TEMP, MAF, THROTTLE_POS, INTAKE_TEMP, TIMING_ADVANCE, ENGINE_LOAD, ELM_VOLTAGE, SPEED, O2_S1_WR_CURRENT, O2_S5_WR_CURRENT, O2_B1S2, O2_B2S2, SHORT_FUEL_TRIM_1, LONG_FUEL_TRIM_1, SHORT_FUEL_TRIM_2, LONG_FUEL_TRIM_2, 
2021-08-23_15:57:57.824584, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 2.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, -0.01171875 milliampere, -0.015625 milliampere, 0.445 volt, None, None, None, None, None, 
2021-08-23_15:57:58.324428, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 2.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, -0.01171875 milliampere, -0.015625 milliampere, 0.445 volt, 0.445 volt, -0.78125 percent, 6.25 percent, -1.5625 percent, 2.34375 percent, 
2021-08-23_15:57:58.824572, 102 degC, 3.5 gps, 12.156862745098039 percent, 60 degC, 3.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, -0.01171875 milliampere, 0.0 milliampere, 0.445 volt, 0.445 volt, -0.78125 percent, 6.25 percent, -1.5625 percent, 2.34375 percent, 
2021-08-23_15:57:59.324636, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 3.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, -0.01171875 milliampere, 0.0 milliampere, 0.445 volt, 0.445 volt, -0.78125 percent, 6.25 percent, -1.5625 percent, 2.34375 percent, 
2021-08-23_15:57:59.824746, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 2.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, -0.02734375 milliampere, 0.00390625 milliampere, 0.445 volt, 0.44 volt, -0.78125 percent, 6.25 percent, -1.5625 percent, 2.34375 percent, 
2021-08-23_15:58:00.324757, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 3.5 degree, 27.45098039215686 percent, 13.6 volt, 0.0 kph, -0.02734375 milliampere, 0.00390625 milliampere, 0.445 volt, 0.44 volt, -0.78125 percent, 6.25 percent, -1.5625 percent, 2.34375 percent, 
2021-08-23_15:58:00.824794, 102 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 3.5 degree, 27.45098039215686 percent, 13.6 volt, 0.0 kph, 0.00390625 milliampere, 0.00390625 milliampere, 0.445 volt, 0.445 volt, -0.78125 percent, 6.25 percent, -0.78125 percent, 2.34375 percent, 
2021-08-23_15:58:01.324816, 102 degC, 3.5 gps, 12.156862745098039 percent, 60 degC, 3.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, 0.03125 milliampere, 0.0078125 milliampere, 0.445 volt, 0.44 volt, 0.0 percent, 6.25 percent, -0.78125 percent, 2.34375 percent, 
2021-08-23_15:58:01.824777, 103 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 3.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, 0.03125 milliampere, 0.0078125 milliampere, 0.445 volt, 0.44 volt, 0.0 percent, 6.25 percent, -0.78125 percent, 2.34375 percent, 
2021-08-23_15:58:02.324800, 103 degC, 3.5 gps, 12.549019607843137 percent, 60 degC, 3.0 degree, 27.84313725490196 percent, 13.6 volt, 0.0 kph, 0.0 milliampere, -0.01171875 milliampere, 0.445 volt, 0.445 volt, 0.0 percent, 6.25 percent, -0.78125 percent, 2.34375 percent, 
