date,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,
2021-08-23_16:33:44.300632,96 degC,27.25 gps,25.098039215686274 percent,37 degC,18.0 degree,69.80392156862744 percent,13.5 volt,77.0 kph,-0.00390625 milliampere,-0.0546875 milliampere,0.445 volt,None,None,None,None,None,
2021-08-23_16:33:44.800463,96 degC,27.25 gps,25.098039215686274 percent,37 degC,18.0 degree,69.80392156862744 percent,13.5 volt,77.0 kph,-0.00390625 milliampere,-0.0546875 milliampere,0.445 volt,0.765 volt,2.34375 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:33:45.299452,96 degC,20.75 gps,20.784313725490197 percent,37 degC,25.5 degree,58.431372549019606 percent,13.5 volt,76.0 kph,-0.06640625 milliampere,-0.015625 milliampere,0.445 volt,0.765 volt,2.34375 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:33:45.799431,96 degC,18.0 gps,20.784313725490197 percent,37 degC,25.5 degree,58.431372549019606 percent,13.5 volt,76.0 kph,-0.06640625 milliampere,-0.015625 milliampere,0.445 volt,0.765 volt,0.0 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:33:46.299392,96 degC,18.0 gps,18.823529411764707 percent,37 degC,22.5 degree,49.411764705882355 percent,13.5 volt,75.0 kph,-0.0078125 milliampere,0.046875 milliampere,0.445 volt,0.765 volt,-0.78125 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:46.799354,97 degC,19.0 gps,19.215686274509803 percent,37 degC,21.0 degree,52.94117647058823 percent,13.4 volt,73.0 kph,-0.0078125 milliampere,0.046875 milliampere,0.445 volt,0.765 volt,-0.78125 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:47.299324,97 degC,19.0 gps,19.215686274509803 percent,37 degC,21.0 degree,52.94117647058823 percent,13.4 volt,73.0 kph,-0.015625 milliampere,0.015625 milliampere,0.445 volt,0.765 volt,2.34375 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:47.799308,97 degC,18.75 gps,19.607843137254903 percent,37 degC,20.0 degree,54.11764705882353 percent,13.5 volt,72.0 kph,-0.00390625 milliampere,-0.0390625 milliampere,0.445 volt,0.765 volt,2.34375 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:33:48.299353,97 degC,18.5 gps,19.215686274509803 percent,37 degC,21.0 degree,54.11764705882353 percent,13.5 volt,72.0 kph,-0.00390625 milliampere,-0.0390625 milliampere,0.445 volt,0.765 volt,2.34375 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:33:48.799366,97 degC,18.5 gps,19.215686274509803 percent,37 degC,21.0 degree,54.11764705882353 percent,13.5 volt,71.0 kph,-0.0078125 milliampere,-0.04296875 milliampere,0.445 volt,0.77 volt,2.34375 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:49.299325,97 degC,18.0 gps,19.215686274509803 percent,37 degC,21.0 degree,54.90196078431372 percent,13.5 volt,71.0 kph,-0.015625 milliampere,-0.0234375 milliampere,0.445 volt,0.765 volt,1.5625 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:49.799241,97 degC,18.75 gps,19.607843137254903 percent,37 degC,20.0 degree,56.07843137254902 percent,13.5 volt,71.0 kph,-0.015625 milliampere,-0.0234375 milliampere,0.445 volt,0.765 volt,1.5625 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:50.299243,97 degC,18.75 gps,19.607843137254903 percent,37 degC,20.0 degree,56.07843137254902 percent,13.5 volt,70.0 kph,-0.0078125 milliampere,-0.03125 milliampere,0.445 volt,0.765 volt,1.5625 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:33:50.799370,97 degC,20.5 gps,20.784313725490197 percent,37 degC,18.0 degree,62.35294117647059 percent,13.5 volt,68.0 kph,0.0390625 milliampere,0.046875 milliampere,0.445 volt,0.765 volt,0.78125 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:33:51.299365,97 degC,23.75 gps,23.92156862745098 percent,37 degC,14.0 degree,62.35294117647059 percent,13.5 volt,68.0 kph,0.0390625 milliampere,0.046875 milliampere,0.445 volt,0.765 volt,0.78125 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:33:51.799331,97 degC,23.75 gps,23.92156862745098 percent,37 degC,14.0 degree,73.33333333333333 percent,13.5 volt,68.0 kph,-0.015625 milliampere,-0.01953125 milliampere,0.445 volt,0.77 volt,0.0 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:52.299326,97 degC,37.0 gps,33.333333333333336 percent,37 degC,8.0 degree,89.80392156862744 percent,13.5 volt,67.0 kph,-0.09375 milliampere,0.0 milliampere,0.445 volt,0.77 volt,0.0 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:52.799247,97 degC,37.0 gps,33.333333333333336 percent,37 degC,8.0 degree,89.80392156862744 percent,13.5 volt,67.0 kph,-0.09375 milliampere,0.0 milliampere,0.445 volt,0.75 volt,0.78125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:33:53.299204,97 degC,49.5 gps,34.11764705882353 percent,37 degC,18.0 degree,80.7843137254902 percent,13.5 volt,68.0 kph,-0.12109375 milliampere,0.01171875 milliampere,0.445 volt,0.735 volt,0.78125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:33:53.799194,98 degC,48.0 gps,34.11764705882353 percent,37 degC,18.0 degree,80.7843137254902 percent,13.5 volt,68.0 kph,-0.12109375 milliampere,0.01171875 milliampere,0.445 volt,0.735 volt,-3.90625 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:33:54.299328,98 degC,48.0 gps,31.372549019607842 percent,38 degC,19.5 degree,76.47058823529412 percent,13.5 volt,70.0 kph,0.015625 milliampere,-0.01171875 milliampere,0.445 volt,0.745 volt,-2.34375 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:33:54.799316,98 degC,49.25 gps,31.372549019607842 percent,38 degC,19.5 degree,76.86274509803921 percent,13.4 volt,70.0 kph,0.015625 milliampere,-0.01171875 milliampere,0.445 volt,0.745 volt,-2.34375 percent,3.125 percent,3.90625 percent,-0.78125 percent,
2021-08-23_16:33:55.299298,98 degC,49.25 gps,31.372549019607842 percent,38 degC,19.5 degree,76.86274509803921 percent,13.4 volt,70.0 kph,-0.0234375 milliampere,-0.0078125 milliampere,0.445 volt,0.745 volt,-3.90625 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:33:55.799384,97 degC,43.25 gps,28.235294117647058 percent,38 degC,21.0 degree,69.01960784313725 percent,13.5 volt,70.0 kph,-0.01171875 milliampere,-0.03125 milliampere,0.445 volt,0.755 volt,-3.90625 percent,3.125 percent,3.125 percent,-0.78125 percent,
2021-08-23_16:33:56.299328,97 degC,39.75 gps,27.058823529411764 percent,38 degC,18.5 degree,69.01960784313725 percent,13.5 volt,70.0 kph,-0.01171875 milliampere,-0.03125 milliampere,0.445 volt,0.755 volt,-3.90625 percent,3.125 percent,-0.78125 percent,-0.78125 percent,
2021-08-23_16:33:56.799305,97 degC,39.75 gps,27.058823529411764 percent,38 degC,18.5 degree,64.70588235294117 percent,13.5 volt,70.0 kph,0.02734375 milliampere,0.0625 milliampere,0.445 volt,0.745 volt,-1.5625 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:57.299334,97 degC,38.25 gps,26.666666666666668 percent,38 degC,18.5 degree,64.31372549019608 percent,13.4 volt,70.0 kph,-0.04296875 milliampere,0.00390625 milliampere,0.445 volt,0.74 volt,0.0 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:33:57.799295,97 degC,37.25 gps,25.88235294117647 percent,38 degC,18.5 degree,64.31372549019608 percent,13.4 volt,70.0 kph,-0.04296875 milliampere,0.00390625 milliampere,0.445 volt,0.74 volt,0.0 percent,3.125 percent,2.34375 percent,-0.78125 percent,
2021-08-23_16:33:58.299237,97 degC,37.25 gps,25.88235294117647 percent,38 degC,19.5 degree,63.529411764705884 percent,13.4 volt,70.0 kph,-0.03515625 milliampere,-0.0625 milliampere,0.445 volt,0.75 volt,-1.5625 percent,3.125 percent,0.0 percent,-0.78125 percent,
2021-08-23_16:33:58.799450,97 degC,35.5 gps,25.49019607843137 percent,39 degC,20.0 degree,61.568627450980394 percent,13.5 volt,70.0 kph,0.0 milliampere,-0.03125 milliampere,0.445 volt,0.75 volt,-1.5625 percent,3.125 percent,0.0 percent,-0.78125 percent,
2021-08-23_16:33:59.299412,97 degC,35.5 gps,25.49019607843137 percent,39 degC,20.0 degree,61.568627450980394 percent,13.5 volt,70.0 kph,0.0 milliampere,-0.03125 milliampere,0.445 volt,0.75 volt,0.78125 percent,3.125 percent,0.0 percent,-0.78125 percent,
2021-08-23_16:33:59.799426,97 degC,35.5 gps,25.49019607843137 percent,39 degC,20.0 degree,61.96078431372549 percent,13.5 volt,70.0 kph,-0.01171875 milliampere,-0.0625 milliampere,0.445 volt,0.75 volt,1.5625 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:00.299361,97 degC,37.75 gps,26.666666666666668 percent,39 degC,18.5 degree,65.09803921568627 percent,13.5 volt,70.0 kph,0.01953125 milliampere,-0.0625 milliampere,0.445 volt,0.75 volt,1.5625 percent,3.125 percent,0.78125 percent,-0.78125 percent,
2021-08-23_16:34:00.798889,97 degC,37.75 gps,26.666666666666668 percent,39 degC,18.5 degree,65.09803921568627 percent,13.5 volt,70.0 kph,0.01953125 milliampere,-0.015625 milliampere,0.445 volt,0.745 volt,0.78125 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:34:01.298978,97 degC,45.0 gps,29.80392156862745 percent,39 degC,17.0 degree,72.94117647058823 percent,13.5 volt,71.0 kph,-0.046875 milliampere,0.03125 milliampere,0.445 volt,0.72 volt,-0.78125 percent,3.125 percent,1.5625 percent,-0.78125 percent,
2021-08-23_16:34:01.798961,97 degC,47.75 gps,30.58823529411765 percent,39 degC,18.5 degree,74.90196078431373 percent,13.5 volt,71.0 kph,-0.046875 milliampere,0.03125 milliampere,0.445 volt,0.72 volt,-0.78125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:02.298956,97 degC,47.75 gps,30.58823529411765 percent,39 degC,18.5 degree,74.90196078431373 percent,13.5 volt,71.0 kph,0.03125 milliampere,0.01953125 milliampere,0.445 volt,0.7 volt,-3.125 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:02.798962,97 degC,48.25 gps,30.58823529411765 percent,39 degC,19.5 degree,75.29411764705883 percent,13.5 volt,72.0 kph,-0.015625 milliampere,-0.03125 milliampere,0.445 volt,0.7 volt,-3.125 percent,3.125 percent,5.46875 percent,-0.78125 percent,
