RPM,FuelLoad,VE_Current,Lambda_Target,Lambda_Measured,Lambda_Error,CLT,MAT,Lambda_Error_Abs
1655.0,59.0,55.90625,0.9897692307692308,0.954,-0.03613896013056668,79.0,-25.0,0.03613896013056668
1655.0,59.0,55.90625,0.9897692307692308,0.892,-0.098779824356882,79.0,-25.0,0.098779824356882
1664.0,59.0,55.85,0.9900461538461538,0.962,-0.028328127670815644,79.0,-25.0,0.028328127670815644
1668.0,56.0,53.32,0.9959384615384616,0.962,-0.03407686604053391,79.0,-25.0,0.03407686604053391
1677.0,56.0,53.23,0.9962153846153846,0.892,-0.104611298143744,79.0,-25.0,0.104611298143744
1683.0,57.0,54.02375,0.9944769230769233,0.977,-0.017573985550966304,79.0,-25.0,0.017573985550966304
1686.0,57.0,53.9975,0.9945692307692308,0.962,-0.03274707256330536,79.0,-25.0,0.03274707256330536
1690.0,55.0,52.099999999999994,1.0008974358974358,0.962,-0.038862559241706146,79.0,-25.0,0.038862559241706146
1695.0,56.0,53.05,0.9967692307692307,0.977,-0.019833307609198943,79.0,-25.0,0.019833307609198943
1712.0,57.0,53.77,0.9953692307692308,0.969,-0.026491908684832883,79.0,-25.0,0.026491908684832883
1723.0,57.0,53.67375,0.9957076923076923,0.969,-0.026822824122000603,79.0,-25.0,0.026822824122000603
1728.0,55.0,51.72,1.0023589743589745,0.969,-0.03328046659163014,79.0,-25.0,0.03328046659163014
1727.0,54.0,50.730000000000004,1.0068871794871794,0.969,-0.03762802850114338,79.0,-25.0,0.03762802850114338
1739.0,53.0,49.61,1.0121,0.962,-0.04950103744689263,79.0,-25.0,0.04950103744689263
1754.0,54.0,50.459999999999994,1.0081333333333333,0.962,-0.0457611427059913,79.0,-25.0,0.0457611427059913
1761.0,55.0,51.38999999999999,1.003628205128205,0.969,-0.03450302109014724,79.0,-25.0,0.03450302109014724
1759.0,55.0,51.41,1.003551282051282,0.969,-0.034429014908593784,79.0,-25.0,0.034429014908593784
1762.0,55.0,51.379999999999995,1.0036666666666667,0.977,-0.026569246097642038,79.0,-25.0,0.026569246097642038
1781.0,54.0,50.19,1.0093794871794872,0.915,-0.09350248184972743,79.0,-25.0,0.09350248184972743
1793.0,54.0,50.07000000000001,1.0099333333333333,0.985,-0.024688098224305264,79.0,-25.0,0.024688098224305264
1799.0,54.0,50.00999999999999,1.0102102564102564,0.992,-0.018026204242833438,79.0,-25.0,0.018026204242833438
1827.0,53.0,48.73,1.0172019230769231,0.985,-0.031657355679702126,79.0,-25.0,0.031657355679702126
1855.0,54.0,49.45,1.0144871794871797,0.969,-0.044837608997851865,79.0,-25.0,0.044837608997851865
1856.0,53.0,48.44,1.019153846153846,0.969,-0.04921126122726239,79.0,-25.0,0.04921126122726239
1838.0,52.0,47.62,1.0227051282051283,0.962,-0.05935741058780769,79.0,-25.0,0.05935741058780769
1839.0,51.0,46.61000000000001,1.0275160256410258,0.962,-0.06376156089648632,79.0,-25.0,0.06376156089648632
1843.0,51.0,46.57000000000001,1.0277083333333334,0.969,-0.05712548145144955,79.0,-25.0,0.05712548145144955
1835.0,51.0,46.650000000000006,1.027323717948718,0.962,-0.06358630372045872,79.0,-25.0,0.06358630372045872
1830.0,51.0,46.7,1.0270833333333336,0.892,-0.13152129817444239,79.0,-25.0,0.13152129817444239
1859.0,52.0,47.41,1.0239166666666668,0.977,-0.04582078619679351,79.0,-25.0,0.04582078619679351
1891.0,54.0,49.089999999999996,1.0172564102564101,0.977,-0.03957351347263871,78.0,-25.0,0.03957351347263871
1891.0,54.0,49.089999999999996,1.0172564102564101,0.969,-0.04743780404809306,78.0,-25.0,0.04743780404809306
1902.0,52.0,46.980000000000004,1.026397435897436,0.969,-0.055921258072171826,78.0,-25.0,0.055921258072171826
1872.0,50.0,45.28,1.0335384615384617,0.962,-0.06921702887764238,78.0,-25.0,0.06921702887764238
1887.0,52.0,47.129999999999995,1.0255320512820512,0.962,-0.061950332222798596,78.0,-25.0,0.061950332222798596
1913.0,53.0,47.870000000000005,1.0229903846153847,0.977,-0.044956810256506774,78.0,-25.0,0.044956810256506774
1915.0,51.0,45.85,1.031169871794872,0.962,-0.06707902711943459,78.0,-25.0,0.06707902711943459
1906.0,50.0,44.940000000000005,1.034846153846154,0.962,-0.07039322084293481,78.0,-25.0,0.07039322084293481
1905.0,50.0,44.95,1.0348076923076925,0.962,-0.0703586693923065,78.0,-25.0,0.0703586693923065
1926.0,52.0,46.739999999999995,1.0277820512820515,0.892,-0.1321117167911985,78.0,-25.0,0.1321117167911985
1947.0,51.0,45.53000000000001,1.0327083333333336,0.954,-0.07621545289489635,78.0,-25.0,0.07621545289489635
1951.0,49.0,43.270625,1.0447403846153849,0.877,-0.1605570025678078,78.0,-27.0,0.1605570025678078
1955.0,52.0,46.45,1.0294551282051283,0.969,-0.058725365048725164,78.0,-27.0,0.058725365048725164
1952.0,50.0,44.48,1.0366153846153847,0.962,-0.07197981596913043,78.0,-27.0,0.07197981596913043
